category,datetime,headline,id,image,related,source,summary,url
company,1779828300,"Top Stock Reports for RTX, Wells Fargo & Amgen",140426075,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"RTX builds a $271B backlog on defense demand and recovering air travel, but tariffs and supply-chain issues cloud growth.",https://finnhub.io/api/news?id=507b6490bd8c0ae06443ad12e6dc7097fb8083dfbb049e510ac3ab8f6b7cf925
company,1779815400,3 Defense Giants Boosting Dividends as Shares Take a Ride,140434869,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,Northrop Grumman and two other large defense stocks just announced significant increases to their dividends as shares swing in 2026.,https://finnhub.io/api/news?id=d9d2295dbaa42cc0da04e6fcaa9975977f653fc8641cc7e0a41810a40e605fbf
company,1779813060,GE Benefits From Strong Order Growth: A Sign for More Upside?,140422720,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,GE Aerospace is seeing strong engine demand and defense contract wins that continue to fuel order momentum.,https://finnhub.io/api/news?id=dfb6ec68e7c08cc3939c43d62b299598237862868b57d0c234e562fb8d0a1114
company,1779808126,RTX Defense Breakthroughs Highlight Modular And Software Centric Growth Story,140421321,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"RTX (NYSE:RTX) recently supported a major U.S. Army delivery of modernized Javelin Lightweight Command Launch Units under the Raytheon business. The company secured a DARPA contract focused on adaptive solid rocket motor technology for future missile and propulsion systems. Raytheon teams within RTX are rolling out software defined upgrades to naval radar systems for U.S. and allied fleets. For investors watching defense contractors, RTX sits at the center of several long running spending...",https://finnhub.io/api/news?id=6bf226b96969cdb36f8c44f7eb4840eada557156a5976188587d6c543af0f6b5
company,1779801213,Raytheon awarded DARPA contract to advance adaptable rocket motor technology (RTX),140420285,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Raytheon, a business unit of RTX (NYSE:RTX), has secured a phase two contract from the Defense Advanced Research Projects Agency (DARPA) to continue development of composable solid rocket motor technology under the Burn n’ Go program. New propulsion system designed for flexible mission requirementsThe project is focused on developing rocket motors capable of dynamically adjusting thrust during operation to support multiple mission profiles, replacing conventional single-purpose motor designs.",https://finnhub.io/api/news?id=3b9e729009faccb45b04a2760e5d1a09f43df4855a0edc964bd92ca748b29ac1
company,1779800400,First Javelin Lightweight Command Launch Units delivered to the U.S. Army,140420286,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"The Javelin Joint Venture (JJV), a partnership between Raytheon, an RTX (NYSE: RTX) business, and Lockheed Martin, has delivered the first Lightweight Command Launch Units (LWCLU) to the U.S. Army. The LWCLU, a next-generation launcher for the Javelin® weapon system, is designed to be adaptable and compatible with all current, past and future Javelin variants. The launcher is replacing the weapon system's legacy command launch unit.",https://finnhub.io/api/news?id=5d45e2c63e799ea6905c9d465bfb166612d5712b9e51c659f6e6633b3bbeced2
company,1779796800,RTX's Raytheon selected by DARPA to advance composable solid rocket motor technology,140420287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Raytheon, an RTX (NYSE: RTX) business, in collaboration with Northrop Grumman, has been awarded a phase two contract from the Defense Advanced Research Projects Agency (DARPA) Burn n' Go program to continue the development of a new solid rocket motor (SRM) design. This new capability will decouple post-manufactured motors from traditional, single-use designs, enabling a composable motor capable of meeting multiple mission needs by adjusting thrust on demand.",https://finnhub.io/api/news?id=31471b1293a745a24b205397cffde013493be6623f7000c59ee118b873f1a6e4
company,1779786406,The Javelin Joint Venture Delivers First Lightweight Command Launch Units To U.S. Army,140422105,,RTX,Benzinga,"The Javelin Joint Venture (JJV), a partnership between Raytheon, an RTX (NYSE: RTX) business, and Lockheed Martin, has delivered the first Lightweight Command Launch Units (LWCLU) to the U.S. Army. The LWCLU, a",https://finnhub.io/api/news?id=620b32fec009c71d061a05cf1707d748d2dc15bb6e92680b77b1a88cfc5504a8
company,1779783208,Raytheon Receives Phase Two Contract From Defense Advanced Research Projects Agency Burn N' Go Program To Continue Development Of New Solid Rocket Motor Design,140422106,,RTX,Benzinga,"Raytheon, an RTX (NYSE:RTX) business, in collaboration with Northrop Grumman, has been awarded a phase two contract from the Defense Advanced Research Projects Agency (DARPA) Burn n&#39; Go program to continue the",https://finnhub.io/api/news?id=c55a346a2ff8053d4b7f8f8aea686cea201472ca8ce69f5e132db2d0ed8ec012
company,1779782400,Frequency Electronics: The Rerating May Still Be Early,140419646,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2253117636/image_2253117636.jpg?io=getty-c-w1536,RTX,SeekingAlpha,"Frequency Electronics, Inc. is evolving from a niche timing supplier into a backlog-conversion and operating-leverage story. Read why FEIM stock is a Buy.",https://finnhub.io/api/news?id=8ad6dbd44e794781f6f6fbac22d6f99615b9a4d3e9f4e5ac582f77224dc8b016
company,1779780000,3 Blue Chip Dividend Stocks to Buy in June as the Dow Jones Industrial Average Turns 130,140418479,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"The Dow is no longer dominated by industrial, energy, manufacturing, and consumer goods companies.",https://finnhub.io/api/news?id=033ee5053bd5fcab3275af378c0f026c1f9286457cd796789afc4b094a0db26a
company,1779775739,Is It Too Late To Consider RTX (RTX) After A 34% One Year Rally?,140418990,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Wondering if RTX at around US$177 per share still offers value after a strong run, or if most of the opportunity is already reflected in the price. The stock has moved 1.4% over the past week and 1.6% over the past month, while the 1 year return sits at 34.0% and the 3 year and 5 year returns are very large at about 2x since three years ago and a bit more than that over five years. Recent commentary around RTX has focused on its role in aerospace and defense, with investors paying attention...",https://finnhub.io/api/news?id=c122a4349743b84f4ee296129a4d74abeb1466454ecfca8c3cf7780cc6766df8
company,1779769025,RTX's Meltdown Creates Multi-Year Commercial/Defense Winner - Reiterate Buy,140418612,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2211340568/image_2211340568.jpg?io=getty-c-w1536,RTX,SeekingAlpha,Multi-year defense agreements are set to boost RTX's annual munition production by 2xâ4x. Read why RTX stock is a Buy.,https://finnhub.io/api/news?id=af4914aa775826385da3664cdda0200bb5c280ce60c17f57fb23f37d8378e55b
