category,datetime,headline,id,image,related,source,summary,url
company,1778105043,Coherent Corp. 2026 Q3 - Results - Earnings Call Presentation,140200246,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,COHR,SeekingAlpha,2026-05-06. The following slide deck was published by Coherent Corp.,https://finnhub.io/api/news?id=384bd799e18a0c6ebccce623c715a419f674d830160153ad188a81f4247a7417
company,1778103759,Coherent Q3 revenue beats Wall Street estimates on surging AI datacenter demand,140197468,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"Investing.com -- Coherent on Wednesday reported higher third-quarter revenue, driven by surging demand in AI data center infrastructure and communications markets.",https://finnhub.io/api/news?id=29d38feefc3c460da3fbeaa57cb5572644297db3dc2f74bcdadabee4c8a1936c
company,1778103372,Dow Jones Futures: Stock Market Hits Highs On Iran-Deal Hopes; Nvidia Leads New Buys; ARM Is Big Earnings Mover,140197163,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,The S&P 500 and Nasdaq hit new highs on Iran deal hopes. Nvidia leads new buys with Arm a big earnings mover late.,https://finnhub.io/api/news?id=0a2f4649c479b1601317ad2c08966fb81cb9ef9900e2dbd7154677ea92f3c497
company,1778102704,Coherent (COHR) Q3 Earnings Match Estimates,140199435,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"Coherent (COHR) delivered earnings and revenue surprises of +0.24% and +1.46%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=25545bb5489af959ac9a18bbeeb8c7e717508aed40ae3378706785987b104a8b
company,1778102220,Lumentum Earnings Paused the Stock’s Rally. Why Wall Street Isn’t Worried.,140199278,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"Lumentum shares fall after the optical networking giant reported fiscal third-quarter earnings, narrowly missing lofty revenue expectations.",https://finnhub.io/api/news?id=487fdb490af0de51777b4b803a16c1a5010cadba7b643c54d0a02bda78517c1a
company,1778101920,"First Lumentum, Now Coherent. Why Earnings Aren’t Boosting the AI Laser Stock.",140199279,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"Coherent reported quarterly earnings that were in-line with Wall Street’s expectations, with gross margins increasing slightly.  The optical networking company is benefiting from the artificial intelligence data center boom—but shares fell anyway.  Coherent posted adjusted earnings of $1.41 a share for the fiscal third-quarter, compared to 91 cents a year ago and Wall Street’s $1.40 a share prediction.",https://finnhub.io/api/news?id=ea89f5f5098975c4071d688f4631107f426b439a49590edbb0ff1a5b9bd82bc6
company,1778101507,These S&P500 stocks are moving in today's after hours session,140198766,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,COHR,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=567fcd47257b186eed7324a8f3b5473cb4edb7fd8b505551053daa6bb7d899a8
company,1778100527,Coherent Corp (NYSE:COHR) Shares Slide After Mixed Earnings Print,140198745,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,COHR,ChartMill,"Coherent (COHR) beats Q3 revenue estimates but misses on EPS, causing shares to drop 7% after hours. AI datacenter demand drives strong growth, with Q4 guidance above analyst expectations.",https://finnhub.io/api/news?id=6dd8076012d20f6ede9fe87c16a3f6464b38bc6a28a2fd63812b410d842c5ac0
company,1778099478,Coherent (NYSE:COHR) Surprises With Q1 CY2026 Sales But Stock Drops,140197470,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"Materials and photonics company Coherent (NYSE:COHR) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 20.5% year on year to $1.81 billion. On top of that, next quarter’s revenue guidance ($1.98 billion at the midpoint) was surprisingly good and 3.4% above what analysts were expecting. Its non-GAAP profit of $1.41 per share was 1.1% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=122527ff0339958368a58e9de71ee3c2a45073385bf9aa858911a052bbf40869
company,1778099475,Coherent Corp. (COHR) Q3 2026 Earnings Call Transcript,140199737,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,COHR,SeekingAlpha,"Coherent Corp. (COHR) Q3 2026 Earnings Call May 6, 2026 4:30 PM EDTCompany ParticipantsPaul Silverstein - Senior Vice President of Investor RelationsJames...",https://finnhub.io/api/news?id=c907ce38dd8ba3467fbe4d3e3575a76f72af7dc650b2c786fb5411d34b287acd
company,1778091660,Coherent's Next Wave: Co-Packaged Optics and Systems Optionality,140197471,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"COHR is broadening beyond pluggable transceivers into systems and co-packaged optics, with NVIDIA collaboration and 2026-2027 traction as key signposts.",https://finnhub.io/api/news?id=bc708ce560d52960b7517996ae9643831f5c7f8499f2c3c2cc8a4d9f386200d6
company,1778091420,COHR Stock: A Practical Guide to Playing AI Optics,140195362,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"COHR's upside is tied to AI datacenter-driven mix and margin gains, but supply tightness through 2026-2027 could keep results uneven during multiple ramps.",https://finnhub.io/api/news?id=50710aeb9f9a3a9c16a94642a6a05830d47a7a39c2d7b56629d316af0716251a
company,1778091300,COHR Stock Outlook: Is the AI Optics Upcycle Enough at 48x EPS?,140195363,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"COHR has bookings into 2027-2028 and margin levers from 1.6T mix and 6-inch wafers, yet supply tightness and a rich multiple raise risk.",https://finnhub.io/api/news?id=6e6ff5e70b6c5d36e48f555065d0a251e39064f463bc7e49192e7e7988530e90
company,1778090297,Coherent forecasts upbeat revenue betting on AI momentum,140197139,,COHR,Finnhub,"May 6 - Coherent Corp forecastfourth-quarter revenue above market estimates on Wednesday,banking on strong demand for its AI data center components todrive growth. However, shares...",https://finnhub.io/api/news?id=36c87b4bd1d1915ac5457b8827fedc790d05cac9b743e05ec8c9c85843a723dd
company,1778089175,"Transcript : Coherent Corp., Q3 2026 Earnings Call, May 06, 2026",140198274,,COHR,Finnhub,"Presentation Operator MessageOperator Greetings, and welcome to the Coherent Third Quarter Fiscal Year 2026 Earnings Call. It is now my pleasure to introduce your host, Mr. Paul Silverstein, Senior...",https://finnhub.io/api/news?id=8e401cabe4a508da8bffc9655c041c51d3815f2f2dc99182bd16406c8903a636
company,1778087760,Quantum’s Risks Are Overstated—and the Investment Opportunity May Be Underestimated,140193764,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"Barclays says quantum computing demand could reach $100 billion by 2040, with companies like IonQ, IBM, and Nvidia positioned across the value chain.",https://finnhub.io/api/news?id=474c69ae5083a41e8241dead58294acd099ae118145ecd78e286ea466121d396
company,1778087349,"Stocks making the biggest moves after hours: DoorDash, Zillow Group, ARM Holdings, Fortinet and more",140209770,https://image.cnbcfm.com/api/v1/image/108103876-1739907921225-JP3_9069.jpg?v=1739908771&w=1920&h=1080,COHR,CNBC,See which stocks are posting big moves after the bell.,https://finnhub.io/api/news?id=9cad065372b5b30f8ca677f25e875cb56dc09ffc7908169131708c63b4bf8c4f
company,1778087019,12 Information Technology Stocks Moving In Wednesday's After-Market Session,140196937,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_1.jpg?width=2048&height=1536,COHR,Benzinga, ,https://finnhub.io/api/news?id=d65306fb0eca875a79a121e69dd054766972e8e1be386f1a2c464cdb7edbf40d
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,COHR,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778083988,Coherent: Fiscal Q3 Earnings Snapshot,140195702,,COHR,Finnhub,"SAXONBURG, Pa. — SAXONBURG, Pa. — Coherent Corp. on Wednesday reported fiscal third-quarter earnings of $191.4 million. On a per-share basis, the Saxonburg, Pennsylvania-based company said it...",https://finnhub.io/api/news?id=ba1ab9d129349bf1b04f8c29d15d18534be8cf11b880d1645a2d7b0040d994c5
company,1778083796,Coherent Sees Q4 Adj EPS $1.52-$1.72 vs $1.53 Est; Sees Sales $1.910B-$2.050B vs $1.912B Est,140196224,,COHR,Benzinga,Coherent (NYSE:COHR) is looking for Q4 Adj EPS of $1.52-$1.72 vs $1.53 analyst estimate. sees sales of $1.910 billion-$2.050 billion vs $1.912 billion analyst estimate.,https://finnhub.io/api/news?id=09a9c4d4860586b38d58633c9babbc4dbc7bacbe563c93e28a7af2208f058eba
company,1778083748,"Coherent Q3 Adj. EPS $1.41 Beats $1.40 Estimate, Sales $1.806B Beat $1.780B Estimate",140196225,,COHR,Benzinga,Coherent (NYSE:COHR) reported quarterly earnings of $1.41 per share which beat the analyst consensus estimate of $1.40 by 0.71 percent. This is a 54.95 percent increase over earnings of $0.91 per share from the same,https://finnhub.io/api/news?id=ede84b0e1756769f53106f91f31eed0e34c9300995f0f1648717682d8cc7e51a
company,1778083716,Coherent Corp. Reports Third Quarter Fiscal 2026 Results,140195578,,COHR,Finnhub,"Q3 REVENUE OF $1.81B, INCREASED 21% Y/Y AND 27% Y/Y ON A PRO FORMA BASISQ3 GAAP GROSS MARGIN OF 37.7%, INCREASED 243 bps Y/Y; Q3 NON-GAAP GROSS MARGIN OF 39.6%, INCREASED 105 bps Y/YQ3 GAAP EPS OF...",https://finnhub.io/api/news?id=ca10244ae59c3f1f955bb71838b64b1d96a3172c5c88839950cf71e752e9ab25
company,1776324980,Shares of quantum computing-related companies are trading higher amid continued strength after NVIDIA recently announced the launch of Ising open source quantum AI models.,139945902,,COHR,Benzinga,,https://finnhub.io/api/news?id=af3c964b58c41970101af8a466eb63f85746399b2344620aadf16cdc28a8eb02
company,1778079120,Lumentum Stock Has Soared Since Joining the S&P 500. Why Earnings Put a Pause in the Rally.,140191652,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"Lumentum shares fall after the optical networking giant reported fiscal third-quarter earnings, narrowly missing lofty revenue expectations.",https://finnhub.io/api/news?id=039ec955c4e160f5d7706f50ec73328e6fbc1ff5a2b3f006422794c647d249b8
company,1778065288,Nvidia Is Facing More Competition and It’s Spooking Investors,140188250,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COHR,Yahoo,"(Bloomberg) -- This earnings season has delivered plenty of good news for the artificial intelligence trade, but instead of bidding up Nvidia Corp. shares, investors have been dumping them.Most Read from BloombergUS Has Opened a Passage Through Hormuz, Central Command SaysUS Says Offensive Phase of Iran War Over as Ship Hit in StraitAnthropic Unveils AI Agents to Field Financial Services TasksTrump Pauses Plan to Guide Ships While Seeking Iran DealWhite House Weighs AI Working Group, Model Testi",https://finnhub.io/api/news?id=4dd918c8c490174770c831061fee6e56ebe6acc0901a3b0aa08e43b2131fd520
company,1778052601,Nvidia to invest up to $3.2 billion in Corning as part of massive optical fiber deal with 3 new factories focused on AI,140192578,https://image.cnbcfm.com/api/v1/image/108302673-1778030331411-260109_cn_30_tech_corning_meta_cleanmp400_15_13_17Still021.jpg?v=1778032505&w=1920&h=1080,COHR,CNBC,Corning is opening three new advanced manufacturing plants in the U.S. dedicated entirely to optical technologies for Nvidia. ,https://finnhub.io/api/news?id=091574a854f8d41dfb3499e237f8435c379e0f005592fe24f11bb4bd60a6ad73
